Date,Title,Location,Company,Min Exp,Max Exp,Min Salary,Max Salary,Skills
2024-02-18,Sr. Snowflake Developer – SCIT,,unknown,,,,,"Azure,Data Engineering,Snowflake,ETL,JavaScript,Snowflake API,ML modeling,DevOps,AWS cloud platforms,Python,ADF"
2024-02-18,Sr Business Solutions Manager, New Delhi,SAS Research and  Developement (India) Pvt Ltd,8 , 15 ,,,"Presales,Analytical,SAS,Advisory,Business case,Fraud management,Customer interfacing,Business solutions,Monitoring,Analytics"
2024-02-18,AI/ML Developer, Bengaluru,Bluebird India R&D Center Private Limited.,4 , 9 ,,,"Bitbucket,Matplotlib,Exposure to CV-based applications,Python packages and libraries like Pandas,Gitlab,creating secure RESTful web services in XML and JSON,NumPy,NVIDIA CUDA-X AI framework,GitHub,Scikit learn"
2024-02-18,Senior Data Engineer," Pune, Chennai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",Reflections Info Systems,5 , 7 ,,,"Backend,Apache,Business intelligence,Distribution system,Python,Data warehousing,Operations,Infrastructure,Analytics,Customer acquisition"
2024-02-18,Lead Technical Support Engineer," Hyderabad,Telangana",randstad offshore,8 , 13 ,,,"Apple,Intune,Deployment,Powershell Scripting,Troubleshooting,MacOS"
2024-02-18,Marketing Executive, Bengaluru,Asha Sweet Center,3 , 4 ,"50,000",,"Strategic Thinking,Creativity,Project Management,Leadership,Digital Marketing,Negotiation,Communication Skills,Brand Marketing,Analytical Skills,Data Analysis"
2024-02-18,Data Scientist/Analytics Specialist," Gurgaon/ Gurugram,Haryana, Mumbai (All Areas)",TransOrg,2 , 5 ,,,"Deep Learning,Predictive Analytics,SQL,R,Natural Language Processing,Statistical Modeling,Logistic Regression,predictive modeling,Machine Learning,Python"
2024-02-18,Manager Sales & Business Analysis, Mumbai,Smart Wealth,3 , 7 ,,,"Business Analysis,Power BI,Market Trends Forecasting,Sales Analysis,Tableau,Hyperion Planning"
2024-02-18,Gen AI Product Owner, Bangalore/Bengaluru,Philips,5 , 9 ,,,"Analytical,Product management,Healthcare,Engineering Design,Risk management,PMP,Agile,Machine learning,Market research"
2024-02-18,Business Transformation Consultant-Finance Transformation,,unknown,,,,,"business transformation,financial transformation,finance,iot,process redesign,sales,finance process,transformation,project delivery,digital transformation,procurement,operations,service procurement,account management,blockchain,writing"
2024-02-18,Table Tennis Coach, Kaithal,Fitness365,1 , 3 ,,,"performance testing,adobe after effects,analysis,performance analysis,audio editing,jmeter,communication skills,data analysis,video editing,financial analysis,adobe premiere pro,photoshop,graphic designing,illustrator,load runner"
2024-02-18,Senior Analyst - Operational Excellence, Gurgaon/Gurugram,AMERICAN EXPRESS,3 , 7 ,,,"Relationship management,Operational excellence,TLM,Monitoring,Flex,Career development,Finance,Customer experience,remediation"
